                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2819,                0.79686,                 1.3504,                0.89397,                0.98495,                 0.9787,                0.74538,                 1.2653,                0.62045,                 1.3729,               0.006535,               0.006535,               0.006535
                     37,                 1.2839,                0.80845,                 1.3556,                0.87675,                0.93921,                0.97411,                0.67262,                 1.2831,                0.64029,                   1.37,               0.006436,               0.006436,               0.006436
                     38,                 1.2767,                0.77836,                 1.3418,                0.96189,                0.94466,                 0.9792,                0.70646,                 1.2631,                0.61423,                 1.3669,               0.006337,               0.006337,               0.006337
                     39,                 1.2719,                0.78827,                 1.3413,                 0.8606,                0.97993,                0.97898,                0.72452,                 1.2715,                0.63698,                 1.3748,               0.006238,               0.006238,               0.006238
                     40,                 1.2747,                0.78563,                 1.3399,                0.91046,                0.97993,                0.98433,                0.75783,                  1.243,                0.62875,                 1.3581,               0.006139,               0.006139,               0.006139
                     41,                 1.2745,                 0.7861,                 1.3331,                0.92876,                0.97324,                0.97694,                0.73124,                 1.2568,                0.61575,                 1.3579,                0.00604,                0.00604,                0.00604
                     42,                 1.2576,                0.76225,                  1.324,                0.92644,                0.97993,                0.97831,                0.71712,                 1.2591,                 0.6411,                 1.3621,               0.005941,               0.005941,               0.005941
                     43,                 1.2571,                0.75232,                 1.3256,                0.88522,                0.91668,                0.97849,                0.71107,                 1.2864,                0.60943,                 1.3648,               0.005842,               0.005842,               0.005842
                     44,                 1.2546,                0.75623,                   1.33,                0.95477,                0.98161,                 0.9831,                0.76626,                 1.2659,                0.60528,                 1.3475,               0.005743,               0.005743,               0.005743
                     45,                 1.2507,                 0.7518,                 1.3258,                0.88112,                0.98161,                0.98088,                0.69922,                  1.292,                0.62334,                  1.372,               0.005644,               0.005644,               0.005644
                     46,                 1.2602,                0.75547,                  1.327,                0.91251,                0.98662,                0.98627,                0.73042,                 1.2799,                0.59885,                 1.3659,               0.005545,               0.005545,               0.005545
                     47,                 1.2508,                0.75326,                 1.3174,                0.92717,                0.97993,                0.98455,                0.74664,                  1.276,                 0.5972,                  1.344,               0.005446,               0.005446,               0.005446
                     48,                 1.2471,                0.75299,                 1.3209,                0.91577,                0.97826,                0.97943,                0.73364,                 1.2619,                0.59835,                 1.3438,               0.005347,               0.005347,               0.005347
